Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
655360e9f1d41ee5055c9c1d,65411678615c500e3736d4a7,APPROVED,2023-11-14T11:58:37.754000Z,2023-11-14T12:05:00.298000Z,2023-11-15T19:38:41.257000Z,2023-11-14T12:05:00.800178Z,383.0,COQ89QD3,10,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6553610530db9e8edd7215f9,5e5533d92d3b4a0009806de9,APPROVED,2023-11-14T11:59:06.970000Z,2023-11-14T12:05:32.750000Z,2023-11-15T19:38:41.444000Z,2023-11-14T12:05:33.217442Z,386.0,NOCODE,1171,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65536110618e238627f65012,5b61d7e48de04c000171cfb9,APPROVED,2023-11-14T11:59:20.813000Z,2023-11-14T12:04:41.107000Z,2023-11-15T19:38:41.591000Z,2023-11-14T12:04:41.627536Z,321.0,COQ89QD3,2494,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6553614ce422f9ac75a3ef17,60c1e14a6bb168897d8b1d20,APPROVED,2023-11-14T12:00:16.826000Z,2023-11-14T12:05:55.738000Z,2023-11-15T19:38:41.748000Z,2023-11-14T12:05:56.315628Z,339.0,COQ89QD3,157,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
655361562dd8b57d73d7cf7e,654cf162c4734be5a883dffa,APPROVED,2023-11-14T12:00:30.997000Z,2023-11-14T12:07:55.066000Z,2023-11-15T19:38:41.911000Z,2023-11-14T12:07:55.751568Z,445.0,COQ89QD3,7,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
65536159e7f9fe682d14b2b4,5c1501d280023f0001aa11cf,APPROVED,2023-11-14T12:00:37.579000Z,2023-11-14T12:11:18.836000Z,2023-11-15T19:38:42.062000Z,2023-11-14T12:11:19.294475Z,642.0,COQ89QD3,730,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6553616446a091f9497a934a,599577769845ef00014de2b3,APPROVED,2023-11-14T12:00:39.618000Z,2023-11-14T12:06:00.453000Z,2023-11-15T19:38:42.240000Z,2023-11-14T12:06:00.976292Z,321.0,NOCODE,889,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
65536170ca89c467022e8ab8,61420a83da1e231807c9feb1,APPROVED,2023-11-14T12:00:54.677000Z,2023-11-14T12:08:35.062000Z,2023-11-15T19:38:42.440000Z,2023-11-14T12:08:35.713652Z,461.0,COQ89QD3,329,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
655361a11dbff815bb54c539,5fba1c3bc7bb9a62797d57d0,APPROVED,2023-11-14T12:01:42.075000Z,2023-11-14T12:07:39.546000Z,2023-11-15T19:38:42.601000Z,2023-11-14T12:07:40.090208Z,358.0,COQ89QD3,1020,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
655361a7de8d59c40496a507,63bd826609558e81532cd783,APPROVED,2023-11-14T12:01:47.350000Z,2023-11-14T12:07:15.440000Z,2023-11-15T19:38:42.766000Z,2023-11-14T12:07:15.912756Z,329.0,COQ89QD3,554,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
